,Year,Ceremony,Award,Winner,Name,Film
158,1931,4,Writing (Original Story),0,Smart Money ,"Lucien Hubbard, Joseph Jackson"
159,1932,5,Actor in a Leading Role,1,Wallace Beery,The Champ
160,1932,5,Actor in a Leading Role,0,Alfred Lunt,The Guardsman
161,1932,5,Actor in a Leading Role,1,Fredric March,Dr. Jekyll and Mr. Hyde
162,1932,5,Actress in a Leading Role,0,Marie Dressler,Emma
163,1932,5,Actress in a Leading Role,0,Lynn Fontanne,The Guardsman
164,1932,5,Actress in a Leading Role,1,Helen Hayes,The Sin of Madelon Claudet
165,1932,5,Art Direction,0,Ã Nous la LibertÃ© ,Lazare Meerson
166,1932,5,Art Direction,0,Arrowsmith ,Richard Day
167,1932,5,Art Direction,1,Transatlantic ,Gordon Wiles
168,1932,5,Cinematography,0,Arrowsmith ,Ray June
169,1932,5,Cinematography,0,Dr. Jekyll and Mr. Hyde ,Karl Struss
170,1932,5,Cinematography,1,Shanghai Express ,Lee Garmes
171,1932,5,Director,1,Frank Borzage,Bad Girl 
172,1932,5,Director,0,King Vidor,The Champ 
173,1932,5,Director,0,Josef Von Sternberg,Shanghai Express 
174,1932,5,Best Picture,0,Samuel Goldwyn Productions,Arrowsmith 
175,1932,5,Best Picture,0,Fox,Bad Girl 
176,1932,5,Best Picture,0,Metro-Goldwyn-Mayer,The Champ 
177,1932,5,Best Picture,0,First National,Five Star Final 
178,1932,5,Best Picture,1,Metro-Goldwyn-Mayer,Grand Hotel 
179,1932,5,Best Picture,0,Paramount Publix,One Hour with You 
180,1932,5,Best Picture,0,Paramount Publix,Shanghai Express 
181,1932,5,Best Picture,0,Paramount Publix,The Smiling Lieutenant 
182,1932,5,Short Subject (Cartoon),1,Flowers and Trees ,"Walt Disney, Producer"
183,1932,5,Short Subject (Cartoon),0,It's Got Me Again ,"Leon Schlesinger, Producer"
184,1932,5,Short Subject (Cartoon),0,Mickey's Orphans ,"Walt Disney, Producer"
185,1932,5,Short Subject (Comedy),0,The Loud Mouth ,"Mack Sennett, Producer"
186,1932,5,Short Subject (Comedy),1,The Music Box ,"Hal Roach, Producer"
187,1932,5,Short Subject (Comedy),0,Scratch-As-Catch-Can ,RKO Radio
188,1932,5,Short Subject (Comedy),0,Stout Hearts and Willing Hands ,RKO Radio
189,1932,5,Short Subject (Novelty),0,Screen Souvenirs ,Paramount Publix
190,1932,5,Short Subject (Novelty),0,Swing High ,Metro-Goldwyn-Mayer
191,1932,5,Short Subject (Novelty),1,Wrestling Swordfish ,"Mack Sennett, Producer"
192,1932,5,Sound Recording,0,Metro-Goldwyn-Mayer Studio Sound Department,
193,1932,5,Sound Recording,1,Paramount Publix Studio Sound Department,
194,1932,5,Sound Recording,0,RKO Radio Studio Sound Department,
195,1932,5,Sound Recording,0,Warner Brothers-First National Studio Sound Department,
196,1932,5,Writing (Adapted Screenplay),0,Sidney Howard,Arrowsmith 
197,1932,5,Writing (Adapted Screenplay),1,Edwin Burke,Bad Girl 
198,1932,5,Writing (Adapted Screenplay),0,"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde 
199,1932,5,Writing (Original Story),1,The Champ ,Frances Marion
200,1932,5,Writing (Original Story),0,Lady and Gent ,"Grover Jones, William Slavens McNutt"
201,1932,5,Writing (Original Story),0,The Star Witness ,Lucien Hubbard
202,1932,5,Writing (Original Story),0,What Price Hollywood? ,"Adela Rogers St. Johns, Jane Murfin"
203,1932,5,Special Award,1,Walt Disney,âMickey Mouseâ
204,1933,6,Actor in a Leading Role,0,Leslie Howard,Berkeley Square
205,1933,6,Actor in a Leading Role,1,Charles Laughton,The Private Life of Henry VIII
206,1933,6,Actor in a Leading Role,0,Paul Muni,I Am a Fugitive from a Chain Gang
207,1933,6,Actress in a Leading Role,1,Katharine Hepburn,Morning Glory
208,1933,6,Actress in a Leading Role,0,May Robson,Lady for a Day
209,1933,6,Actress in a Leading Role,0,Diana Wynyard,Cavalcade
210,1933,6,Art Direction,1,Cavalcade ,William S. Darling
211,1933,6,Art Direction,0,A Farewell to Arms ,"Hans Dreier, Roland Anderson [Second]"
212,1933,6,Art Direction,0,When Ladies Meet ,Cedric Gibbons [Third]
213,1933,6,Assistant Director,0,Percy Ikerd (Fox),
214,1933,6,Assistant Director,1,William Tummel (Fox),
215,1933,6,Assistant Director,1,Charles Dorian (Metro-Goldwyn-Mayer),
216,1933,6,Assistant Director,0,Bunny Dull (Metro-Goldwyn-Mayer),
217,1933,6,Assistant Director,0,John S. Waters (Metro-Goldwyn-Mayer),
218,1933,6,Assistant Director,1,Charles Barton (Paramount),
219,1933,6,Assistant Director,0,Sidney S. Brod (Paramount),
220,1933,6,Assistant Director,0,Arthur Jacobson (Paramount),
221,1933,6,Assistant Director,0,Eddie Killey (RKO Radio),
222,1933,6,Assistant Director,1,Dewey Starkey (RKO Radio),
223,1933,6,Assistant Director,1,Fred Fox (United Artists),
224,1933,6,Assistant Director,0,Benjamin Silvey (United Artists),
225,1933,6,Assistant Director,1,Scott Beal (Universal),
226,1933,6,Assistant Director,0,Joe McDonough (Universal),
227,1933,6,Assistant Director,0,W. J. Reiter (Universal),
228,1933,6,Assistant Director,0,Al Alborn (Warner Brothers),
229,1933,6,Assistant Director,1,Gordon Hollingshead (Warner Brothers),
230,1933,6,Assistant Director,0,Frank X. Shaw (Warner Brothers),
231,1933,6,Cinematography,1,A Farewell to Arms ,"Charles Bryant Lang, Jr."
232,1933,6,Cinematography,0,Reunion in Vienna ,George J. Folsey [Second]
233,1933,6,Cinematography,0,The Sign of the Cross ,Karl Struss [Third]
234,1933,6,Director,1,Frank Lloyd,Cavalcade 
235,1933,6,Director,0,Frank Capra [Second],Lady for a Day 
236,1933,6,Director,0,George Cukor [Third],Little Women 
237,1933,6,Best Picture,1,Fox,Cavalcade 
238,1933,6,Best Picture,0,Paramount [Second],A Farewell to Arms 
239,1933,6,Best Picture,0,Warner Brothers,42nd Street 
240,1933,6,Best Picture,0,Warner Brothers,I Am a Fugitive from a Chain Gang 
241,1933,6,Best Picture,0,Columbia,Lady for a Day 
242,1933,6,Best Picture,0,RKO Radio [Third],Little Women 
243,1933,6,Best Picture,0,London Films,The Private Life of Henry VIII 
244,1933,6,Best Picture,0,Paramount,She Done Him Wrong 
245,1933,6,Best Picture,0,Metro-Goldwyn-Mayer,Smilin' Through 
246,1933,6,Best Picture,0,Fox,State Fair 
247,1933,6,Short Subject (Cartoon),0,Building a Building ,"Walt Disney, Producer [Second]"
248,1933,6,Short Subject (Cartoon),0,The Merry Old Soul ,"Walter Lantz, Producer [Third]"
249,1933,6,Short Subject (Cartoon),1,The Three Little Pigs ,"Walt Disney, Producer"
250,1933,6,Short Subject (Comedy),0,Mister Mugg ,"Warren Doane, Producer [Third]"
251,1933,6,Short Subject (Comedy),0,A Preferred List ,"Louis Brock, Producer [Second]"
252,1933,6,Short Subject (Comedy),1,So This Is Harris ,"Louis Brock, Producer"
253,1933,6,Short Subject (Novelty),1,Krakatoa ,"Joe Rock, Producer"
254,1933,6,Short Subject (Novelty),0,Menu ,"Pete Smith, Producer [tied for 2nd]"
255,1933,6,Short Subject (Novelty),0,The Sea ,Educational [tied for 2nd]
256,1933,6,Sound Recording,1,A Farewell to Arms ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
257,1933,6,Sound Recording,0,42nd Street ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
